nama_bahan,berat (g),energi (kal),protein (g),lemak (g),karbo (g),serat (g),food_group,food_type
"Beras giling, mentah",100,357,8.4,1.7,77.1,0.2,serelia,raw
"Beras giling var pelita,
mentah",100,369,9.5,1.4,77.1,0.4,serelia,raw
"Beras giling var
rojolele, mentah",100,357,8.4,1.7,77.1,0.2,serelia,raw
"Beras hitam, mentah",100,351,8,1.3,76.9,20.1,serelia,raw
"Beras jagung kuning, kering, mentah",100,358,5.5,0.1,82.7,10,serelia,raw
"Beras jagung putih,
kering, mentah",100,307,4.8,0.1,71.8,10,serelia,raw
"Beras ketan hitam tumbuk, mentah",100,360,8,2.3,74.5,1,serelia,raw
"Beras ketan putih
tumbuk, mentah",100,361,7.4,0.8,78.4,0.4,serelia,raw
"Beras ladang, mentah",100,376,7.5,3.8,78,5.9,serelia,raw
"Beras menir, mentah",100,362,7.7,4.4,73,0.2,serelia,raw
Beras parboiled,100,353,6.8,0.6,80,0.5,serelia,raw
"Beras tumbuk, mentah",100,354,7.8,0.4,79.9,3.8,serelia,raw
"Beras tumbuk merah,
mentah",100,352,7.3,0.9,76.2,0.8,serelia,raw
"Cantel, mentah",100,366,11,3.3,73,1.2,serelia,raw
"Jagung muda, kuning,
mentah",100,147,5.1,0.7,31.5,1.3,serelia,raw
"Jagung kuning pipil,
kering, mentah",100,366,9.8,7.3,69.1,2.2,serelia,raw
"Jagung pipil var,
harapan, kering",100,367,6.2,5.1,76.2,2.6,serelia,raw
"Jagung pipil var,
metro, kering",100,368,5.5,4.6,78,2.9,serelia,raw
"Jali, mentah",100,324,11,4,61,3.1,serelia,raw
"Jawawut, mentah",100,364,9.7,3.5,73.4,8.2,serelia,raw
"Jampang huma,
mentah",100,350,6.2,1.4,78.2,1.7,serelia,raw
Nasi,100,180,3,0.3,39.8,0.2,serelia,processed
Nasi tim,100,120,2.4,0.4,26,0.5,serelia,processed
"Beras, tapai",100,99,1.7,0.3,22.4,0,serelia,processed
"Beras, tepung, mentah",100,353,7,0.5,80,2.4,serelia,processed
"Beras merah, Nasi",100,149,2.8,0.4,32.5,0.3,serelia,processed
"Bihun, mentah",100,348,4.7,0.1,82.1,1.2,serelia,processed
Bihun goreng instan,100,381,6.1,3.9,80.3,,serelia,processed
"Bihun Jagung, mentah",100,354,0.5,0.3,87.4,3,serelia,processed
"Jagung nasi, mentah",100,357,8.8,0.5,79.5,6.2,serelia,processed
"Jagung muda, rebus",100,142,5,0.7,30.3,0.8,serelia,processed
"Jagung kuning, tepung",100,355,9.2,3.9,73.7,7.2,serelia,processed
"Jagung kuning pipil,
rebus",100,154,3.8,3.5,28.4,0.7,serelia,processed
"Jagung, tepung putih",100,355,9.2,3.9,73.7,7.2,serelia,processed
"Ketan, ketupat",100,212,4,4.6,38.6,0.2,serelia,processed
"Ketan hitam, matang",100,181,4,1.2,37.3,0.3,serelia,processed
"Ketan hitam, tapai",100,166,3.8,1,34.4,0.3,serelia,processed
"Ketan putih, matang",100,163,3,0.4,35.7,0.2,serelia,processed
"Ketan putih, tapai",100,172,3,0.5,37.5,0.6,serelia,processed
"Maizena, tepung",100,341,0.3,0,85,7,serelia,processed
"Makaroni, mentah",100,353,8.7,0.4,78.7,4.9,serelia,processed
Mi basah,100,88,0.6,3.3,14,0.1,serelia,processed
Mi kering,100,339,10,1.7,6.3,0.4,serelia,processed
Misoa,100,345,8.5,2.2,78,0.5,serelia,processed
Roti putih,100,248,8,1.2,50,9.1,serelia,processed
Tepung terigu,100,333,9,1,77.2,0.3,serelia,processed
Amparan tatak,100,191,1.3,5.5,34,,serelia,processed
"Apang kukus, kue",100,202,3,0.3,46.7,,serelia,processed
"Apem, kue",100,148,2,0.5,33.9,,serelia,processed
Biskuit,100,458,6.9,14.4,75.1,2.1,serelia,processed
"Bakpia, kue",100,272,8.7,6.7,44.1,0.9,serelia,processed
Bakwan,100,280,8.2,10.2,39,3.4,serelia,processed
Bantal,100,190,3.3,0.3,43.5,3.4,serelia,processed
Baruasa,100,417,6.5,8.2,79.3,-,serelia,processed
Batar daan,100,107,2.2,2.2,19.6,-,serelia,processed
Bika ambon,100,199,2.1,1.5,44.4,0.3,serelia,processed
Bingka,100,273,5.3,10.6,39.1,-,serelia,processed
Bobengka,100,225,5.3,2.6,45.2,-,serelia,processed
Bolu peca,100,197,3.3,4.6,35.6,-,serelia,processed
