nama_bahan,berat (g),energi (kal),protein (g),lemak (g),karbo (g),serat (g),food_group,food_type
"Beras giling, mentah",100,357,8.4,1.7,77.1,0.2,serelia,raw
"Beras jagung kuning, kering, mentah",100,358,5.5,0.1,82.7,10,serelia,raw
"Beras jagung putih,
kering, mentah",100,307,4.8,0.1,71.8,10,serelia,raw
"Jagung muda, kuning,
mentah",100,147,5.1,0.7,31.5,1.3,serelia,raw
"Jagung kuning pipil,
kering, mentah",100,366,9.8,7.3,69.1,2.2,serelia,raw
Nasi,100,180,3,0.3,39.8,0.2,serelia,processed
Nasi tim,100,120,2.4,0.4,26,0.5,serelia,processed
"Beras, tepung, mentah",100,353,7,0.5,80,2.4,serelia,processed
"Beras merah, Nasi",100,149,2.8,0.4,32.5,0.3,serelia,processed
"Bihun, mentah",100,348,4.7,0.1,82.1,1.2,serelia,processed
"Bihun Jagung, mentah",100,354,0.5,0.3,87.4,3,serelia,processed
"Jagung muda, rebus",100,142,5,0.7,30.3,0.8,serelia,processed
"Jagung kuning, tepung",100,355,9.2,3.9,73.7,7.2,serelia,processed
"Jagung, tepung putih",100,355,9.2,3.9,73.7,7.2,serelia,processed
"Makaroni, mentah",100,353,8.7,0.4,78.7,4.9,serelia,processed
Mi basah,100,88,0.6,3.3,14,0.1,serelia,processed
Mi kering,100,339,10,1.7,6.3,0.4,serelia,processed
Misoa,100,345,8.5,2.2,78,0.5,serelia,processed
Roti putih,100,248,8,1.2,50,9.1,serelia,processed
Tepung terigu,100,333,9,1,77.2,0.3,serelia,processed
Nasi gurih,100,190,4.7,7.5,26,0.7,serelia,processed
Spaghetti,100,139,7.4,2.1,22.6,-,serelia,processed
"Kentang, segar",100,62,2.1,0.2,13.5,0.5,umbi,raw
"Ketela pohon/
singkong, segar",100,154,1,0.3,36.8,0.9,umbi,raw
"Sagu aren, segar",100,231,0.6,0.2,56.6,3.2,umbi,raw
"Sagu singkong, kering",100,362,0.5,0.3,86.9,,umbi,raw
"Ubi jalar, kuning, segar",100,119,0.5,0.4,25.1,4.2,umbi,raw
"Ubi jalar merah, segar",100,151,1.6,0.3,35.4,0.7,umbi,raw
"Ubi jalar putih, segar",100,88,0.4,0.4,20.6,4,umbi,raw
Beras ganyong,100,364,3.4,0.7,86.3,4.7,umbi,processed
Bubur sagu,100,167,0.2,4,33,,umbi,processed
Cassavastick,100,460,0.8,18.7,17.2,1.6,umbi,processed
Tepung Arrowroot,100,355,0.7,0.2,85.2,0.4,umbi,processed
Tepung Ganyong,100,353,0.8,1.7,83.6,0.7,umbi,processed
"Tepung kentang,
kering",100,347,0.3,0.1,85.6,0.4,umbi,processed
Tepung Mocaf,100,350,1.2,0.6,85,6,umbi,processed
"Tepung singkong/
Tapioka",100,363,1.1,0.5,88.2,0.9,umbi,processed
Tepung Ubi Ungu,100,354,2.8,0.6,84.4,12.9,umbi,processed
Ubi Cilembu,100,186,1.9,0.2,44.3,3.4,umbi,processed
